mnist,,
d,acc,t
2,0.43741,1006.18
27,0.84788,1440.31
38,0.89755,1945.6
86,0.94483,1805.07
194,0.95535,2479.32
437,0.9608,4082.02
None,0.9634,6427.78
,,
kmnist,,
d,acc,t
2,0.29803,1501
27,0.74998,2090
38,0.84388,2133
86,0.92418,2245
194,0.95136,3428
437,0.9562,17822
None,0.96273,13311
,,
fashion-mnist,,
d,acc,t
2,0.5395,1000
27,0.75081,1605
38,0.77015,1303
86,0.794466,1613
194,0.80291,2244
437,0.807183,3451
None,0.812766,5789
,,
norb,,
7,0.64069,888
17,0.84467,1550
38,0.85705,1279
86,0.81,1446
194,0.80096,1868
437,0.785679,2948
985,0.7822633,34085
2216,0.78203703,6943
